,index,success,trial_type,time_elapsed,internal_node_id,view_history,rt,questions,responses,correct,name,reverse_coded,question_id,revealed_states,state_rewards,trial_id,block,trial_index,score,simulation_mode,rewards,path,actions,action_times,queries,displayed_time,trial_time,pid,button_pressed,run,stimulus,open_ended
225,16,,survey-multi-choice,207866.0,0.0-2.0,,165392.0,,Moderately,,STICSA_T,,sticsa_t.1,,,,,,3.0,,,,,,,,,1888,,QuestPilot1,,
226,16,,survey-multi-choice,207866.0,0.0-2.0,,165392.0,,A little,,STICSA_T,,sticsa_t.2,,,,,,2.0,,,,,,,,,1888,,QuestPilot1,,
227,16,,survey-multi-choice,207866.0,0.0-2.0,,165392.0,,Moderately,,STICSA_T,,sticsa_t.3,,,,,,3.0,,,,,,,,,1888,,QuestPilot1,,
228,16,,survey-multi-choice,207866.0,0.0-2.0,,165392.0,,Not at all,,STICSA_T,,sticsa_t.4,,,,,,1.0,,,,,,,,,1888,,QuestPilot1,,
229,16,,survey-multi-choice,207866.0,0.0-2.0,,165392.0,,Not at all,,STICSA_T,,sticsa_t.5,,,,,,1.0,,,,,,,,,1888,,QuestPilot1,,
230,16,,survey-multi-choice,207866.0,0.0-2.0,,165392.0,,Not at all,,STICSA_T,,sticsa_t.6,,,,,,1.0,,,,,,,,,1888,,QuestPilot1,,
231,16,,survey-multi-choice,207866.0,0.0-2.0,,165392.0,,A little,,STICSA_T,,sticsa_t.7,,,,,,2.0,,,,,,,,,1888,,QuestPilot1,,
232,16,,survey-multi-choice,207866.0,0.0-2.0,,165392.0,,Not at all,,STICSA_T,,sticsa_t.8,,,,,,1.0,,,,,,,,,1888,,QuestPilot1,,
233,16,,survey-multi-choice,207866.0,0.0-2.0,,165392.0,,Not at all,,STICSA_T,,sticsa_t.9,,,,,,1.0,,,,,,,,,1888,,QuestPilot1,,
234,16,,survey-multi-choice,207866.0,0.0-2.0,,165392.0,,A little,,STICSA_T,,sticsa_t.10,,,,,,2.0,,,,,,,,,1888,,QuestPilot1,,
235,16,,survey-multi-choice,207866.0,0.0-2.0,,165392.0,,A little,,STICSA_T,,sticsa_t.11,,,,,,2.0,,,,,,,,,1888,,QuestPilot1,,
236,16,,survey-multi-choice,207866.0,0.0-2.0,,165392.0,,Moderately,,STICSA_T,,sticsa_t.12,,,,,,3.0,,,,,,,,,1888,,QuestPilot1,,
237,16,,survey-multi-choice,207866.0,0.0-2.0,,165392.0,,A little,,STICSA_T,,sticsa_t.13,,,,,,2.0,,,,,,,,,1888,,QuestPilot1,,
238,16,,survey-multi-choice,207866.0,0.0-2.0,,165392.0,,Moderately,,STICSA_T,,sticsa_t.14,,,,,,3.0,,,,,,,,,1888,,QuestPilot1,,
239,16,,survey-multi-choice,207866.0,0.0-2.0,,165392.0,,A little,,STICSA_T,,sticsa_t.15,,,,,,2.0,,,,,,,,,1888,,QuestPilot1,,
240,16,,survey-multi-choice,207866.0,0.0-2.0,,165392.0,,A little,,STICSA_T,,sticsa_t.16,,,,,,2.0,,,,,,,,,1888,,QuestPilot1,,
241,16,,survey-multi-choice,207866.0,0.0-2.0,,165392.0,,Moderately,,STICSA_T,,sticsa_t.17,,,,,,3.0,,,,,,,,,1888,,QuestPilot1,,
242,16,,survey-multi-choice,207866.0,0.0-2.0,,165392.0,,Very much so,,STICSA_T,,sticsa_t.18,,,,,,4.0,,,,,,,,,1888,,QuestPilot1,,
243,16,,survey-multi-choice,207866.0,0.0-2.0,,165392.0,,A little,,STICSA_T,,sticsa_t.19,,,,,,2.0,,,,,,,,,1888,,QuestPilot1,,
244,16,,survey-multi-choice,207866.0,0.0-2.0,,165392.0,,Not at all,,STICSA_T,,sticsa_t.20,,,,,,1.0,,,,,,,,,1888,,QuestPilot1,,
245,16,,survey-multi-choice,207866.0,0.0-2.0,,165392.0,,A little,,STICSA_T,,sticsa_t.21,,,,,,2.0,,,,,,,,,1888,,QuestPilot1,,
246,17,,survey-multi-choice,295065.0,0.0-3.0,,86126.0,,Moderate,,LSAS_A,,leb.2,,,,,,2.0,,,,,,,,,1888,,QuestPilot1,,
247,17,,survey-multi-choice,295065.0,0.0-3.0,,86126.0,,Severe,,LSAS_A,,leb.3,,,,,,3.0,,,,,,,,,1888,,QuestPilot1,,
